,fp,tp,fn,sens,ppv,type_
1124,1.0,35.0,5.0,0.875,0.9722222222222222,Violent
1125,0.0,22.0,5.0,0.8148148148148148,1.0,Violent
1126,0.0,19.0,3.0,0.8636363636363636,1.0,Violent
1127,0.0,24.0,5.0,0.8275862068965517,1.0,Violent
1128,0.0,17.0,3.0,0.85,1.0,Violent
1129,0.0,11.0,3.0,0.7857142857142857,1.0,Violent
1130,0.0,14.0,5.0,0.7368421052631579,1.0,Violent
1131,0.0,19.0,2.0,0.9047619047619048,1.0,Violent
1132,0.0,22.0,5.0,0.8148148148148148,1.0,Violent
1133,0.0,23.0,6.0,0.7931034482758621,1.0,Violent
1134,0.0,14.0,0.0,1.0,1.0,Violent
1135,0.0,12.0,2.0,0.8571428571428571,1.0,Violent
1136,1.0,14.0,3.0,0.8235294117647058,0.9333333333333333,Violent
1137,0.0,20.0,0.0,1.0,1.0,Violent
1138,0.0,22.0,3.0,0.88,1.0,Violent
1139,0.0,29.0,7.0,0.8055555555555556,1.0,Violent
1140,0.0,30.0,6.0,0.8333333333333334,1.0,Violent
1141,0.0,26.0,2.0,0.9285714285714286,1.0,Violent
1142,0.0,11.0,3.0,0.7857142857142857,1.0,Violent
1143,0.0,17.0,2.0,0.8947368421052632,1.0,Violent
1144,0.0,15.0,2.0,0.8823529411764706,1.0,Violent
1145,0.0,15.0,1.0,0.9375,1.0,Violent
1146,0.0,10.0,4.0,0.7142857142857143,1.0,Violent
1147,0.0,18.0,2.0,0.9,1.0,Violent
1148,0.0,12.0,4.0,0.75,1.0,Violent
1149,0.0,18.0,4.0,0.8181818181818182,1.0,Violent
1150,0.0,21.0,5.0,0.8076923076923077,1.0,Violent
1151,0.0,21.0,2.0,0.9130434782608695,1.0,Violent
1152,0.0,17.0,4.0,0.8095238095238095,1.0,Violent
1153,0.0,21.0,6.0,0.7777777777777778,1.0,Violent
1154,1.0,23.0,4.0,0.8518518518518519,0.9583333333333334,Violent
1155,1.0,12.0,3.0,0.8,0.9230769230769231,Violent
1156,0.0,5.0,1.0,0.8333333333333334,1.0,Violent
