,Date,EAC,Lat,Long,eventkey
763400,2020-01-01,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.6678111,-106.0768372,v1
763414,2020-01-01,OTROS ACTOS RELACIONADOS CON LA VIDA Y LA INTEGRIDAD PERSONAL,28.6398176,-106.0468104,v4
763478,2020-01-01,DAÑOS,28.6706449,-105.9771681,p3
763537,2020-01-01,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.6666251,-106.0910648,p1
763538,2020-01-01,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.625752,-106.0701176,v1
763543,2020-01-01,TENTATIVA DE HOMICIDIO,28.58103062,-106.02592013,v6
763544,2020-01-01,DAÑOS,28.6640487,-105.948463,p3
763559,2020-01-01,TENTATIVA DE HOMICIDIO,29.04702192,-106.25493305,v6
763565,2020-01-01,DAÑOS,28.64838243,-106.07007353,p3
763617,2020-01-01,OTROS ACTOS RELACIONADOS CON LA VIDA Y LA INTEGRIDAD PERSONAL,28.6822072,-106.0954786,v4
763666,2020-01-01,ROBO A GRANJA O RANCHO SIN VIOLENCIA,28.79542001,-106.17566771,p11
763675,2020-01-01,POSESIÓN DE VEHÍCULO CON REPORTE DE ROBO,28.6364932,-106.0802114,p9
763683,2020-01-01,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.63432039,-106.09622171,p1
763814,2020-01-01,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.7847775,-106.1637192,p0
763900,2020-01-01,VIOLENCIA FAMILIAR,28.6770967,-105.9796383,v0
764031,2020-01-02,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.6209493,-106.0810929,v1
764066,2020-01-02,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.6849646,-106.1271016,p0
764090,2020-01-02,HOMICIDIO,28.7402542,-106.1012355,v3
764092,2020-01-02,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.6853928,-106.0831376,v1
764156,2020-01-02,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.6699125,-106.1049942,p1
764159,2020-01-02,ROBO A PERSONA SIN VIOLENCIA,28.728678,-106.1264625,p6
764160,2020-01-02,VIOLENCIA FAMILIAR,28.66986689,-105.9706291,v0
764182,2020-01-02,ROBO A GRANJA O RANCHO SIN VIOLENCIA,28.63900183,-106.00490205,p11
764186,2020-01-02,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.6826173,-106.1036156,p0
764228,2020-01-02,FRAUDE,28.6244766,-106.0989529,p10
764244,2020-01-02,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.77947497,-106.16761654,p0
764268,2020-01-02,DAÑOS,28.6630416,-106.0113823,p3
764365,2020-01-02,DAÑOS,28.6682235,-105.9560402,p3
764493,2020-01-02,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.6488036,-106.0833759,v1
764532,2020-01-03,DAÑOS,28.5970049,-106.018555,p3
764535,2020-01-03,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.5871747,-105.9904141,p0
764589,2020-01-03,DAÑOS,28.6624647,-106.0976155,p3
764621,2020-01-03,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.65651008,-106.0908881,p1
764625,2020-01-03,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.6917154,-106.0954019,p1
764637,2020-01-03,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.6624885,-106.0865997,p1
764662,2020-01-03,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.65775488,-105.97169635,p1
764682,2020-01-03,ROBO A GRANJA O RANCHO SIN VIOLENCIA,28.78788562,-106.17417381,p11
764707,2020-01-03,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.6734417,-106.1023819,p1
764732,2020-01-03,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.66559658,-106.12647036,p1
764753,2020-01-03,VIOLENCIA FAMILIAR,28.6700038,-105.9895322,v0
764773,2020-01-03,DAÑOS,28.6476003,-106.1371936,p3
764780,2020-01-03,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.6378352,-106.0076215,p0
764783,2020-01-03,ROBO DE VEHÍCULO SIN VIOLENCIA,28.6277407,-106.1210079,p2
764785,2020-01-03,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.748033,-106.1231816,v1
764795,2020-01-03,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.66475711,-106.01258843,p1
764800,2020-01-03,ROBO DE ACCESORIOS Y OBJETOS DE VEHÍCULO,28.6607666,-106.0960531,p4
764802,2020-01-03,ROBO DE VEHÍCULO SIN VIOLENCIA,28.62208918,-106.02983192,p2
764813,2020-01-03,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.7386088,-106.1601829,p0
764815,2020-01-03,ROBO DE VEHÍCULO SIN VIOLENCIA,28.6204314,-106.0283329,p2
764853,2020-01-03,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.6595486,-105.9476291,p0
764874,2020-01-03,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.6452872,-106.0138475,p1
764913,2020-01-03,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.72958431,-106.11076797,p0
764949,2020-01-03,OTROS ACTOS RELACIONADOS CON LA VIDA Y LA INTEGRIDAD PERSONAL,28.6587,-105.9473867,v4
764990,2020-01-03,ROBO DE ACCESORIOS Y OBJETOS DE VEHÍCULO,28.63741938,-106.07327348,p4
765090,2020-01-04,FRAUDE,28.65077452,-106.03740002,p10
765092,2020-01-04,VIOLENCIA FAMILIAR,28.5810325,-106.1004829,v0
765097,2020-01-04,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.6209493,-106.0810929,v1
765104,2020-01-04,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.6202484,-106.1032391,v1
765122,2020-01-04,VIOLENCIA FAMILIAR,28.61470685,-106.0241054,v0
765131,2020-01-04,VIOLENCIA FAMILIAR,28.7055108,-106.1076424,v0
765142,2020-01-04,ROBO DE VEHÍCULO SIN VIOLENCIA,28.686017,-106.127955,p2
765151,2020-01-04,DAÑOS,28.74541159,-106.16122518,p3
765161,2020-01-04,ROBO DE ACCESORIOS Y OBJETOS DE VEHÍCULO,28.61419982,-106.03243199,p4
765163,2020-01-04,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.64519554,-106.03207729,p0
765187,2020-01-04,ROBO DE ACCESORIOS Y OBJETOS DE VEHÍCULO,28.73452371,-106.14806214,p4
765188,2020-01-04,ROBO A PERSONA SIN VIOLENCIA,28.69287281,-106.10995974,p6
765189,2020-01-04,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.73184413,-106.10613683,p0
765199,2020-01-04,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.690525,-106.0988342,p0
765235,2020-01-04,ABUSO DE CONFIANZA,28.6887862,-106.13271543,p18
765246,2020-01-04,MALTRATO DE ANIMALES,28.65414665,-106.05777058,p24
765252,2020-01-04,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.61922275,-106.02250594,p1
765308,2020-01-04,DAÑOS,28.5926541,-106.1641864,p3
765339,2020-01-04,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.7382733,-106.13439295,v1
765341,2020-01-04,ROBO DE VEHÍCULO SIN VIOLENCIA,28.7273891,-106.130119,p2
765378,2020-01-04,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.7259916,-106.142418,p0
765409,2020-01-04,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.6061354,-106.0809141,p1
765410,2020-01-04,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.6249818,-106.046022,p0
765448,2020-01-04,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.72237427,-106.12869272,v1
765449,2020-01-04,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.7489974,-106.1287085,v1
765452,2020-01-04,ROBO DE VEHÍCULO CON VIOLENCIA,28.6526382,-105.9600667,v5
765461,2020-01-04,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.609144,-106.0331118,v1
765475,2020-01-04,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.62466487,-106.04926517,v1
765500,2020-01-04,VIOLENCIA FAMILIAR,28.7012979,-106.0925228,v0
765501,2020-01-04,ROBO A PERSONA SIN VIOLENCIA,28.73266493,-106.15051279,p6
765533,2020-01-04,ROBO DE ACCESORIOS Y OBJETOS DE VEHÍCULO,28.6493639,-106.075968,p4
765537,2020-01-04,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.735097,-106.1428916,p0
765586,2020-01-04,DELITOS CONTRA LA SALUD,28.60087728,-106.01308353,v7
765616,2020-01-05,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.65060597,-105.98987985,p0
765619,2020-01-05,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.6510048,-106.0377738,v1
765774,2020-01-05,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.74936364,-106.11707242,p0
765802,2020-01-05,DAÑOS,28.6342258,-106.0871207,p3
765887,2020-01-05,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.633983,-106.0656971,v1
766066,2020-01-05,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.68464455,-106.11756752,v1
766077,2020-01-05,DAÑOS,28.7843939,-106.1686097,p3
766083,2020-01-05,DAÑOS,28.59159781,-106.02880662,p3
766147,2020-01-05,ROBO DE VEHÍCULO SIN VIOLENCIA,28.70413894,-106.12897565,p2
766179,2020-01-05,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.7103056,-106.1355965,p0
766183,2020-01-05,ROBO DE VEHÍCULO SIN VIOLENCIA,28.6250271,-106.116195,p2
766271,2020-01-05,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.7400618,-106.1646056,p0
766295,2020-01-05,DAÑOS,28.602713,-106.0367656,p3
766378,2020-01-06,ROBO DE VEHÍCULO SIN VIOLENCIA,28.6610017,-106.1305915,p2
766418,2020-01-06,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.6688304,-106.0138829,p1
766429,2020-01-06,DAÑOS,28.62059048,-106.0875618,p3
766432,2020-01-06,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.6228246,-106.0740213,v1
766433,2020-01-06,ROBO DE ACCESORIOS Y OBJETOS DE VEHÍCULO,28.6691011,-106.0789088,p4
766444,2020-01-06,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.6830107,-106.0821515,p1
766468,2020-01-06,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.6941514,-106.1213472,p0
766477,2020-01-06,ROBO DE VEHÍCULO SIN VIOLENCIA,28.6615347,-106.07155335,p2
766481,2020-01-06,ROBO DE ACCESORIOS Y OBJETOS DE VEHÍCULO,28.6728108,-106.1120704,p4
766497,2020-01-06,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.60164265,-106.07762299,p1
766550,2020-01-06,PRIVACIÓN DE LA LIBERTAD,28.61182873,-106.01233145,v17
766567,2020-01-06,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.66871667,-105.95104001,p0
766609,2020-01-06,ROBO DE VEHÍCULO SIN VIOLENCIA,28.61721278,-106.03169214,p2
766611,2020-01-06,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.6387873,-106.0984387,p1
766633,2020-01-06,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.6655108,-105.9577134,p0
766701,2020-01-06,ROBO DE VEHÍCULO SIN VIOLENCIA,28.6840399,-106.1121526,p2
766724,2020-01-06,ROBO A PERSONA CON VIOLENCIA,28.61829208,-106.01621298,v2
766745,2020-01-06,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.653571,-106.099224,p1
766752,2020-01-06,ROBO DE VEHÍCULO SIN VIOLENCIA,28.6840399,-106.1121526,p2
766761,2020-01-06,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.6592844,-105.9655232,p0
766773,2020-01-06,ROBO DE VEHÍCULO SIN VIOLENCIA,28.73708151,-106.15521013,p2
766797,2020-01-06,HOMICIDIO,28.6642424,-106.1117283,v3
766992,2020-01-07,ROBO DE ACCESORIOS Y OBJETOS DE VEHÍCULO,28.7366874,-106.1417628,p4
767009,2020-01-07,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.69385195,-106.102129,p0
767013,2020-01-07,ROBO DE VEHÍCULO SIN VIOLENCIA,28.6462082,-106.0826764,p2
767023,2020-01-07,ROBO DE ACCESORIOS Y OBJETOS DE VEHÍCULO,28.6034847,-106.0328879,p4
767033,2020-01-07,ROBO DE VEHÍCULO SIN VIOLENCIA,28.7297187,-106.12605385,p2
767056,2020-01-07,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.5944828,-106.069446,p0
767080,2020-01-07,DAÑOS,28.726583,-106.1010962,p3
767088,2020-01-07,TENTATIVA DE HOMICIDIO,28.7385959,-106.1038163,v6
767089,2020-01-07,DAÑOS,28.7133541,-106.1518461,p3
767099,2020-01-07,ROBO DE VEHÍCULO SIN VIOLENCIA,28.7468892,-106.1298128,p2
767135,2020-01-07,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.57717,-106.1211398,p1
767180,2020-01-07,ROBO DE ACCESORIOS Y OBJETOS DE VEHÍCULO,28.6675234,-106.1081851,p4
767207,2020-01-07,VIOLENCIA FAMILIAR,28.79006205,-106.15367398,v0
767235,2020-01-07,DAÑOS,28.7513817,-106.1330847,p3
767287,2020-01-07,ROBO DE VEHÍCULO SIN VIOLENCIA,28.6957154,-106.1112856,p2
767312,2020-01-07,VIOLENCIA FAMILIAR,28.7742193,-106.1681891,v0
767337,2020-01-07,VIOLENCIA FAMILIAR,28.7111407,-106.089355,v0
767353,2020-01-07,ROBO DE ACCESORIOS Y OBJETOS DE VEHÍCULO,28.70495054,-106.12727689,p4
767395,2020-01-07,ABUSO SEXUAL,28.6935764,-106.141002,v8
767416,2020-01-07,ROBO DE VEHÍCULO SIN VIOLENCIA,28.62170924,-106.11176556,p2
767436,2020-01-07,TENTATIVA DE HOMICIDIO,28.7060869,-106.0933321,v6
767469,2020-01-08,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.6664626,-106.0908749,v1
767508,2020-01-08,DAÑOS,28.6510048,-106.0377738,p3
767515,2020-01-08,DAÑOS,28.60015047,-106.09279602,p3
767537,2020-01-08,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.63244516,-106.07938658,p1
767627,2020-01-08,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.737794010000002,-106.1117449,p0
767629,2020-01-08,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.7423201,-106.120513,p1
767691,2020-01-08,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.6731341,-106.0723906,p0
767699,2020-01-08,FRAUDE,28.6195906,-106.0760877,p10
767734,2020-01-08,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.7219879,-106.0942402,v1
767803,2020-01-08,ROBO A PERSONA SIN VIOLENCIA,28.62448505,-106.02581777,p6
767813,2020-01-08,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.6216372,-106.1112582,p1
767862,2020-01-08,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.6293322,-106.002921,p0
767898,2020-01-08,ROBO DE VEHÍCULO CON VIOLENCIA,28.67149066,-106.1144085,v5
767922,2020-01-08,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.63596143,-106.08502971,v1
767988,2020-01-08,TENTATIVA DE ROBO CON VIOLENCIA,28.604169,-106.1065088,v18
767991,2020-01-08,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.6216372,-106.1112582,p1
768040,2020-01-08,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.61807559,-106.09250966,v1
768060,2020-01-08,ROBO DE VEHÍCULO SIN VIOLENCIA,28.6514796,-106.0335121,p2
768157,2020-01-09,TENTATIVA DE ROBO CON VIOLENCIA,28.7105444,-106.0898934,v18
768163,2020-01-09,ROBO DE ACCESORIOS Y OBJETOS DE VEHÍCULO,28.6384093,-106.0551012,p4
768164,2020-01-09,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.63581456,-106.07365346,p1
768172,2020-01-09,VIOLENCIA FAMILIAR,28.636682,-106.1028523,v0
768180,2020-01-09,ROBO DE VEHÍCULO SIN VIOLENCIA,28.6689514,-106.1054331,p2
768182,2020-01-09,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.6542699,-106.097936,p1
768191,2020-01-09,ROBO A ESCUELA,28.6646425,-105.9825057,p5
768200,2020-01-09,ROBO A CENTRO RELIGIOSO,28.599499,-105.9968131,p22
768202,2020-01-09,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.68764115,-106.14335674,p0
768206,2020-01-09,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.6167273,-106.0846739,p0
768228,2020-01-09,DAÑOS,28.66133309,-106.1074315,p3
768245,2020-01-09,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.58451926,-106.00793111,p0
768265,2020-01-09,ROBO DE VEHÍCULO CON VIOLENCIA,28.5977682,-106.027472,v5
768308,2020-01-09,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.62478951,-106.07667642,p1
768359,2020-01-09,ROBO DE VEHÍCULO SIN VIOLENCIA,28.739461,-106.1315416,p2
768366,2020-01-09,DAÑOS,28.6865505,-106.0924779,p3
768390,2020-01-09,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.64736578,-106.06187698,p0
768399,2020-01-09,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.5949513,-106.012553,p0
768405,2020-01-09,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.7804141,-106.167081,p0
768476,2020-01-09,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.7247125,-106.1112113,v1
768478,2020-01-09,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.725161,-106.1109224,v1
768483,2020-01-09,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.6787074,-106.1029005,p1
768529,2020-01-09,ROBO A PERSONA CON VIOLENCIA,28.64038796,-106.08210549,v2
768629,2020-01-09,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.734681899999998,-106.1008297,v1
768645,2020-01-09,DAÑOS,28.66823638,-106.11970978,p3
768701,2020-01-09,OMISIÓN DE CUIDADOS,28.6386142,-106.0784077,v20
768709,2020-01-09,ROBO DE ACCESORIOS Y OBJETOS DE VEHÍCULO,28.6071414,-106.0988204,p4
768826,2020-01-10,DAÑOS,28.59541717,-106.08534952,p3
768893,2020-01-10,POSESIÓN DE VEHÍCULO CON REPORTE DE ROBO,28.67577091,-106.12028554,p9
768902,2020-01-10,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.7803037,-106.1648566,p1
768930,2020-01-10,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.6366278,-106.07964375,p1
769002,2020-01-10,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.63227464,-106.0567254,p0
769011,2020-01-10,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.60377627,-106.09813508,p0
769030,2020-01-10,ROBO A PERSONA CON VIOLENCIA,28.67513219,-106.09831009,v2
769078,2020-01-10,VIOLENCIA FAMILIAR,28.6399822,-106.0552846,v0
769080,2020-01-10,ROBO DE ACCESORIOS Y OBJETOS DE VEHÍCULO,28.6467782,-106.0909607,p4
769087,2020-01-10,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.60370348,-106.01691217,p0
769116,2020-01-10,DAÑOS,28.6265969,-106.0722671,p3
769120,2020-01-10,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.6432817,-106.0731367,v1
769169,2020-01-10,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.6325641,-106.0902497,v1
769190,2020-01-10,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.6208273,-106.0374968,p0
769213,2020-01-10,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.68375196,-106.11207951,p1
769216,2020-01-10,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.6358727,-106.053996,v1
769231,2020-01-10,OTROS ACTOS RELACIONADOS CON LA VIDA Y LA INTEGRIDAD PERSONAL,28.63491621,-106.05463382,v4
769258,2020-01-10,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.6701907,-105.9787667,v1
769301,2020-01-10,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.6951268,-106.1021603,p0
769337,2020-01-11,VIOLENCIA FAMILIAR,28.6349746,-106.0662825,v0
769359,2020-01-11,VIOLENCIA FAMILIAR,28.6777693,-106.112957,v0
769446,2020-01-11,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.7381707,-106.1454103,p0
769454,2020-01-11,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.6342258,-106.0871207,p1
769467,2020-01-11,OTROS ACTOS RELACIONADOS CON LA VIDA Y LA INTEGRIDAD PERSONAL,28.62399154,-106.02521852,v4
769524,2020-01-11,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.7311694,-106.11762633,p0
769605,2020-01-11,DAÑOS,28.7835422,-106.1631559,p3
769645,2020-01-11,ROBO DE VEHÍCULO SIN VIOLENCIA,28.640803,-106.102042,p2
769712,2020-01-11,VIOLENCIA FAMILIAR,28.73502852,-106.12708267,v0
769734,2020-01-11,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.6374411,-106.079572,p1
769756,2020-01-11,VIOLENCIA FAMILIAR,28.7543417,-106.1276843,v0
769762,2020-01-11,FRAUDE,28.67199649,-106.02783008,p10
769783,2020-01-11,OTROS ACTOS RELACIONADOS CON LA VIDA Y LA INTEGRIDAD PERSONAL,28.6617622,-106.0682388,v4
769792,2020-01-11,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.58707211,-105.99056089,v1
769804,2020-01-11,ROBO DE VEHÍCULO SIN VIOLENCIA,28.7118207,-106.0916871,p2
769819,2020-01-11,ROBO DE VEHÍCULO CON VIOLENCIA,28.6557919,-105.9578589,v5
769855,2020-01-11,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.64704385,-106.0636821,v1
769861,2020-01-11,DELITOS CONTRA LA SALUD,28.6194876,-106.0823503,v7
769920,2020-01-11,ROBO A PERSONA CON VIOLENCIA,28.58384453,-106.03354551,v2
770156,2020-01-12,DAÑOS,28.64070415,-106.06907497,p3
770188,2020-01-12,ROBO DE ACCESORIOS Y OBJETOS DE VEHÍCULO,28.6721488,-105.9817262,p4
770194,2020-01-12,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.60017874,-106.10277555,v1
770201,2020-01-12,ROBO A PERSONA SIN VIOLENCIA,28.60074724,-105.99833107,p6
770213,2020-01-12,DAÑOS,28.68521499,-106.14197885,p3
770220,2020-01-12,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.73397815,-106.10198711,p1
770259,2020-01-12,ROBO DE VEHÍCULO SIN VIOLENCIA,28.65416529,-105.96566888,p2
770263,2020-01-12,DAÑOS,28.65874353,-106.10132868,p3
770324,2020-01-12,VIOLENCIA FAMILIAR,28.6773662,-106.1237071,v0
770362,2020-01-12,ROBO DE VEHÍCULO SIN VIOLENCIA,28.7415165,-106.1142123,p2
770363,2020-01-12,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.6542823,-105.963683,p0
770427,2020-01-12,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.62764698,-106.07890707,p0
770512,2020-01-12,VIOLENCIA FAMILIAR,28.65647965,-106.12577509,v0
770623,2020-01-12,TENTATIVA DE ROBO CON VIOLENCIA,28.8375497,-106.1913267,v18
770633,2020-01-12,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.6501369,-106.1084154,v1
770654,2020-01-12,ROBO A PERSONA CON VIOLENCIA,28.64387068,-106.06838402,v2
770658,2020-01-12,ROBO A PERSONA CON VIOLENCIA,28.66072565,-106.11159344,v2
770673,2020-01-12,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.64107552,-106.05461931,v1
770676,2020-01-12,ROBO A BANCO CON VIOLENCIA,28.6029255,-106.1020929,v29
770727,2020-01-12,ROBO A TRANSPORTISTA CON VIOLENCIA,28.6916794,-106.12714782,v11
770806,2020-01-13,DELITOS CONTRA LA SALUD,28.67142888,-105.97978625,v7
770827,2020-01-13,DAÑOS,28.73857851,-106.10554351,p3
770887,2020-01-13,ROBO DE ACCESORIOS Y OBJETOS DE VEHÍCULO,28.7383241,-106.1106605,p4
770905,2020-01-13,TENTATIVA DE ROBO,28.72688101,-106.11423749,v19
770940,2020-01-13,VIOLENCIA FAMILIAR,28.7829717,-106.1583307,v0
770946,2020-01-13,ROBO A ESCUELA,28.6180201,-106.0544199,p5
770953,2020-01-13,ROBO A ESCUELA,28.606029,-106.0417322,p5
770973,2020-01-13,OTROS ACTOS RELACIONADOS CON LA VIDA Y LA INTEGRIDAD PERSONAL,28.7859424,-106.1590742,v4
770982,2020-01-13,ROBO DE ACCESORIOS Y OBJETOS DE VEHÍCULO,28.6920735,-106.1323627,p4
771000,2020-01-13,VIOLENCIA FAMILIAR,28.6645148,-105.95640155,v0
771003,2020-01-13,ROBO A BIENES PÚBLICOS,28.64427304,-106.07814225,p16
771050,2020-01-13,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.7406777,-106.1153965,v1
771098,2020-01-13,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.73926843,-106.11417331,v1
771110,2020-01-13,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.6569184,-106.0987628,p0
771195,2020-01-13,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.6761814,-106.0812626,v1
771203,2020-01-13,HOMICIDIO,28.73670678,-106.09684132,v3
771214,2020-01-13,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.72353515,-106.12789471,v1
771219,2020-01-13,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.6268634,-106.0453394,p0
771244,2020-01-13,ROBO DE VEHÍCULO SIN VIOLENCIA,28.5981704,-106.0317773,p2
771257,2020-01-13,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.6353731,-106.0860952,v1
771258,2020-01-13,TENTATIVA DE ROBO CON VIOLENCIA,28.64648035,-106.07160466,v18
771317,2020-01-13,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.62229561,-106.07842648,v1
771318,2020-01-13,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.5976986,-106.032128,v1
771349,2020-01-13,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.6592563,-106.1055907,p0
771354,2020-01-13,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.5942152,-106.0678296,v1
771360,2020-01-13,ROBO A PERSONA SIN VIOLENCIA,28.6718386,-105.9665581,p6
771364,2020-01-13,DAÑOS,28.753683,-106.1281884,p3
771370,2020-01-13,VIOLENCIA FAMILIAR,28.7359157,-106.1036893,v0
771441,2020-01-13,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.6526382,-105.9600667,p0
771443,2020-01-13,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.62446911,-106.06791145,v1
771540,2020-01-14,ROBO DE VEHÍCULO CON VIOLENCIA,28.6420242,-106.0318288,v5
771558,2020-01-14,POSESIÓN DE VEHÍCULO CON REPORTE DE ROBO,28.6575055,-105.9894994,p9
771572,2020-01-14,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.6617081,-105.9541548,p0
771576,2020-01-14,POSESIÓN DE VEHÍCULO CON REPORTE DE ROBO,28.6515122,-105.9887534,p9
771587,2020-01-14,POSESIÓN DE VEHÍCULO CON REPORTE DE ROBO,28.6565021,-105.96042775,p9
